Data.Precipitation,Date.Full,Month,Day,Year,Station.City,Station.Code,Station.Location,Station.State,Temp,Data.Wind.Direction,Data.Wind.Speed
0,03-01-2016,1,3,2016,Worcester,ORH,"Worcester, MA",Massachusetts,31,25,11.56
0.01,03-01-2016,1,3,2016,Alpena,APN,"Alpena, MI",Michigan,27,26,8.96
0,03-01-2016,1,3,2016,Detroit,DTW,"Detroit, MI",Michigan,32,24,12.96
0.05,03-01-2016,1,3,2016,Flint,FNT,"Flint, MI",Michigan,31,27,11.13
0.04,03-01-2016,1,3,2016,Grand Rapids,GRR,"Grand Rapids, MI",Michigan,30,27,13.3
0.08,03-01-2016,1,3,2016,Houghton Lake,HTL,"Houghton Lake, MI",Michigan,26,27,11.16
0.04,03-01-2016,1,3,2016,Lansing,LAN,"Lansing, MI",Michigan,29,26,12.5
0.21,03-01-2016,1,3,2016,Marquette,MQT,"Marquette, MI",Michigan,23,0,0
0,03-01-2016,1,3,2016,Muskegon,MKG,"Muskegon, MI",Michigan,31,28,13.23
0.04,03-01-2016,1,3,2016,Sault Ste Marie,ANJ,"Sault Ste Marie, MI",Michigan,24,28,9.56
0,03-01-2016,1,3,2016,Duluth,DLH,"Duluth, MN",Minnesota,22,30,11.56
0,03-01-2016,1,3,2016,International Falls,INL,"International Falls, MN",Minnesota,21,29,7.76
0,03-01-2016,1,3,2016,Minneapolis,MSP,"Minneapolis, MN",Minnesota,23,28,9.36
0,03-01-2016,1,3,2016,Rochester,RST,"Rochester, MN",Minnesota,19,29,13.73
0,03-01-2016,1,3,2016,St Cloud,STC,"St Cloud, MN",Minnesota,20,29,9.03
0,03-01-2016,1,3,2016,Greenville,GLH,"Greenville, MS",Mississippi,42,30,4.56
0,03-01-2016,1,3,2016,Greenwood,GWO,"Greenwood, MS",Mississippi,40,23,2.36
0.38,03-01-2016,1,3,2016,Gulfport,GPT,"Gulfport, MS",Mississippi,47,35,9.76
0.02,03-01-2016,1,3,2016,Hattiesburg,HBG,"Hattiesburg, MS",Mississippi,46,34,5.76
0,03-01-2016,1,3,2016,Jackson,JAN,"Jackson, MS",Mississippi,44,33,5.43
0.01,03-01-2016,1,3,2016,Meridian,MEI,"Meridian, MS",Mississippi,43,34,5.56
0,03-01-2016,1,3,2016,Tupelo,TUP,"Tupelo, MS",Mississippi,40,23,4.13
0,03-01-2016,1,3,2016,Cape Girardeau,CGI,"Cape Girardeau, MO",Missouri,37,29,5.96
0,03-01-2016,1,3,2016,Columbia,COU,"Columbia, MO",Missouri,33,28,9.26
0,03-01-2016,1,3,2016,Kansas City,MCI,"Kansas City, MO",Missouri,29,28,8.13
0,03-01-2016,1,3,2016,Rolla/Vichy,VIH,"Rolla/Vichy, MO",Missouri,33,27,8.63
0,03-01-2016,1,3,2016,Springfield,SGF,"Springfield, MO",Missouri,35,28,7.5
0,03-01-2016,1,3,2016,St Joseph,STJ,"St Joseph, MO",Missouri,26,28,5.5
0,03-01-2016,1,3,2016,St Louis,STL,"St Louis, MO",Missouri,36,28,9.03
0,03-01-2016,1,3,2016,Billings,BIL,"Billings, MT",Montana,23,22,18.86
0,03-01-2016,1,3,2016,Butte,BTM,"Butte, MT",Montana,0,15,1.8
0,03-01-2016,1,3,2016,Cut Bank,CTB,"Cut Bank, MT",Montana,8,21,4.83
0,03-01-2016,1,3,2016,Dillon,DLN,"Dillon, MT",Montana,7,19,6.4
0,03-01-2016,1,3,2016,Glasgow,GGW,"Glasgow, MT",Montana,8,23,6.16
0,03-01-2016,1,3,2016,Great Falls,GTF,"Great Falls, MT",Montana,17,22,11
0,03-01-2016,1,3,2016,Havre,HVR,"Havre, MT",Montana,10,18,9
0,03-01-2016,1,3,2016,Helena,HLN,"Helena, MT",Montana,3,23,0.53
0.01,03-01-2016,1,3,2016,Kalispell,GPI,"Kalispell, MT",Montana,6,31,1.6
0,03-01-2016,1,3,2016,Miles City,MLS,"Miles City, MT",Montana,19,21,6.26
0,03-01-2016,1,3,2016,Missoula,MSO,"Missoula, MT",Montana,7,12,2.33
0,03-01-2016,1,3,2016,Grand Island,GRI,"Grand Island, NE",Nebraska,26,30,9.03
0,03-01-2016,1,3,2016,Lincoln,LNK,"Lincoln, NE",Nebraska,26,18,5.7
0,03-01-2016,1,3,2016,Norfolk,OFK,"Norfolk, NE",Nebraska,22,29,9.43
0,03-01-2016,1,3,2016,North Platte,LBF,"North Platte, NE",Nebraska,26,30,6.7
0,03-01-2016,1,3,2016,Omaha,OMA,"Omaha, NE",Nebraska,22,31,6.83
0,03-01-2016,1,3,2016,Scottsbluff,BFF,"Scottsbluff, NE",Nebraska,18,21,6.36
0,03-01-2016,1,3,2016,Sidney,SNY,"Sidney, NE",Nebraska,21,28,10.86
0,03-01-2016,1,3,2016,Valentine,VTN,"Valentine, NE",Nebraska,20,26,7.8
0,03-01-2016,1,3,2016,Ely,ELY,"Ely, NV",Nevada,7,26,3.46
0,03-01-2016,1,3,2016,Eureka,P68,"Eureka, NV",Nevada,12,12,3.4
0,03-01-2016,1,3,2016,Las Vegas,LAS,"Las Vegas, NV",Nevada,44,24,1.03
0,03-01-2016,1,3,2016,Mercury,DRA,"Mercury, NV",Nevada,39,9,7.96
0,03-01-2016,1,3,2016,Reno,RNO,"Reno, NV",Nevada,22,18,2.96
0,03-01-2016,1,3,2016,Winnemucca,WMC,"Winnemucca, NV",Nevada,12,8,6.6
0,03-01-2016,1,3,2016,Concord,CON,"Concord, NH",New Hampshire,34,24,6.16
0,03-01-2016,1,3,2016,Mt. Washington,MWN,"Mt. Washington, NH",New Hampshire,60,27,52.6
0,03-01-2016,1,3,2016,Atlantic City,ACY,"Atlantic City, NJ",New Jersey,36,28,6.26
0,03-01-2016,1,3,2016,Newark,EWR,"Newark, NJ",New Jersey,37,25,10.1
0,03-01-2016,1,3,2016,Albuquerque,ABQ,"Albuquerque, NM",New Mexico,31,27,4.63
0,03-01-2016,1,3,2016,Clayton,CAO,"Clayton, NM",New Mexico,31,27,5.06
0.02,03-01-2016,1,3,2016,Roswell,ROW,"Roswell, NM",New Mexico,27,17,1.8
0.01,03-01-2016,1,3,2016,Albany,ALB,"Albany, NY",New York,33,25,6.23
0.01,03-01-2016,1,3,2016,Binghamton,BGM,"Binghamton, NY",New York,25,26,8.86
0.13,03-01-2016,1,3,2016,Buffalo,BUF,"Buffalo, NY",New York,29,26,13.73
0.01,03-01-2016,1,3,2016,Glens Falls,GFL,"Glens Falls, NY",New York,33,21,7.3
0,03-01-2016,1,3,2016,Islip,ISP,"Islip, NY",New York,37,27,8.63
0,03-01-2016,1,3,2016,New York,LGA,"New York, NY",New York,40,27,11.7
0.05,03-01-2016,1,3,2016,Rochester,ROC,"Rochester, NY",New York,28,26,11.23
0.19,03-01-2016,1,3,2016,Syracuse,SYR,"Syracuse, NY",New York,29,24,11.5
0,03-01-2016,1,3,2016,Asheville,AVL,"Asheville, NC",North Carolina,39,34,10.16
0.16,03-01-2016,1,3,2016,Cape Hatteras,HSE,"Cape Hatteras, NC",North Carolina,50,21,4.43
0,03-01-2016,1,3,2016,Charlotte,CLT,"Charlotte, NC",North Carolina,43,18,2.3
0,03-01-2016,1,3,2016,Greensboro,GSO,"Greensboro, NC",North Carolina,41,30,4.2
0,03-01-2016,1,3,2016,Hickory,HKY,"Hickory, NC",North Carolina,43,31,2.36
0,03-01-2016,1,3,2016,Raleigh/Durham,RDU,"Raleigh/Durham, NC",North Carolina,43,27,1.86
0.63,03-01-2016,1,3,2016,Wilmington,ILM,"Wilmington, NC",North Carolina,48,32,5.03
0,03-01-2016,1,3,2016,Bismarck,BIS,"Bismarck, ND",North Dakota,21,25,7.9
0,03-01-2016,1,3,2016,Dickinson,DIK,"Dickinson, ND",North Dakota,20,25,10.76
0,03-01-2016,1,3,2016,Fargo,FAR,"Fargo, ND",North Dakota,20,27,7.8
0,03-01-2016,1,3,2016,Grand Forks,GFK,"Grand Forks, ND",North Dakota,19,28,9.46
0,03-01-2016,1,3,2016,Williston,ISN,"Williston, ND",North Dakota,21,24,8.1
0.05,03-01-2016,1,3,2016,Akron,CAK,"Akron, OH",Ohio,29,26,11.4
0.02,03-01-2016,1,3,2016,Cleveland,CLE,"Cleveland, OH",Ohio,29,25,12.43
0,03-01-2016,1,3,2016,Columbus,CMH,"Columbus, OH",Ohio,31,26,8.53
0,03-01-2016,1,3,2016,Dayton,DAY,"Dayton, OH",Ohio,30,26,11.93
0,03-01-2016,1,3,2016,Mansfield,MFD,"Mansfield, OH",Ohio,27,24,11.46
0,03-01-2016,1,3,2016,Toledo,TOL,"Toledo, OH",Ohio,29,26,12.7
0.03,03-01-2016,1,3,2016,Youngstown/Warren,YNG,"Youngstown/Warren, OH",Ohio,28,25,11.23
0,03-01-2016,1,3,2016,Gage,GAG,"Gage, OK",Oklahoma,33,28,5.46
0,03-01-2016,1,3,2016,Oklahoma City,OKC,"Oklahoma City, OK",Oklahoma,35,30,7.16
0,03-01-2016,1,3,2016,Ponca City,PNC,"Ponca City, OK",Oklahoma,33,28,3.96
0,03-01-2016,1,3,2016,Tulsa,TUL,"Tulsa, OK",Oklahoma,36,29,5.1
0.21,03-01-2016,1,3,2016,Astoria,AST,"Astoria, OR",Oregon,36,9,9.46
0.06,03-01-2016,1,3,2016,Burns,BNO,"Burns, OR",Oregon,7,11,3.5
0.06,03-01-2016,1,3,2016,Eugene,EUG,"Eugene, OR",Oregon,30,1,7.86
0.01,03-01-2016,1,3,2016,Medford,MFR,"Medford, OR",Oregon,34,9,3.4
0.01,03-01-2016,1,3,2016,Pendleton,PDT,"Pendleton, OR",Oregon,19,12,4
0.31,03-01-2016,1,3,2016,Portland,PDX,"Portland, OR",Oregon,32,9,19.93
0,03-01-2016,1,3,2016,Redmond,RDM,"Redmond, OR",Oregon,15,32,2.8
0.29,03-01-2016,1,3,2016,Salem,SLE,"Salem, OR",Oregon,32,34,7.13
0,03-01-2016,1,3,2016,Allentown,ABE,"Allentown, PA",Pennsylvania,34,27,8.3
0.31,03-01-2016,1,3,2016,Erie,ERI,"Erie, PA",Pennsylvania,29,24,13.96
0,03-01-2016,1,3,2016,Harrisburg,MDT,"Harrisburg, PA",Pennsylvania,36,30,8.8
0,03-01-2016,1,3,2016,Philadelphia,PHL,"Philadelphia, PA",Pennsylvania,39,27,8.3
0.01,03-01-2016,1,3,2016,Pittsburgh,PIT,"Pittsburgh, PA",Pennsylvania,31,25,9.53
0,03-01-2016,1,3,2016,Wilkes-Barre/Scranton,AVP,"Wilkes-Barre/Scranton, PA",Pennsylvania,32,25,9.13
0.01,03-01-2016,1,3,2016,Williamsport,IPT,"Williamsport, PA",Pennsylvania,31,26,7.83
0.05,03-01-2016,1,3,2016,San Juan,SJU,"San Juan, PR",Puerto Rico,77,10,5.9
0,03-01-2016,1,3,2016,Providence,PVD,"Providence, RI",Rhode Island,36,26,7.36
0,03-01-2016,1,3,2016,Anderson,AND,"Anderson, SC",South Carolina,45,30,1.13
0.55,03-01-2016,1,3,2016,Charleston,CHS,"Charleston, SC",South Carolina,53,22,3.86
0,03-01-2016,1,3,2016,Columbia,CAE,"Columbia, SC",South Carolina,49,21,2.3
0,03-01-2016,1,3,2016,Greer,GSP,"Greer, SC",South Carolina,45,19,2.53
0,03-01-2016,1,3,2016,Aberdeen,ABR,"Aberdeen, SD",South Dakota,18,26,6.16
0,03-01-2016,1,3,2016,Huron,HON,"Huron, SD",South Dakota,18,29,8.4
0,03-01-2016,1,3,2016,Pierre,PIR,"Pierre, SD",South Dakota,22,27,10.5
0,03-01-2016,1,3,2016,Rapid City,RAP,"Rapid City, SD",South Dakota,24,26,3.26
0,03-01-2016,1,3,2016,Sioux Falls,FSD,"Sioux Falls, SD",South Dakota,18,30,7.2
0,03-01-2016,1,3,2016,Bristol/Jhnsn Cty/Kngsprt,TRI,"Bristol/Jhnsn Cty/Kngsprt, TN",Tennessee,34,23,3.93
0,03-01-2016,1,3,2016,Chattanooga,CHA,"Chattanooga, TN",Tennessee,40,35,3.6
0,03-01-2016,1,3,2016,Clarksville,CKV,"Clarksville, TN",Tennessee,37,28,5.66
0,03-01-2016,1,3,2016,Crossville,CSV,"Crossville, TN",Tennessee,34,29,4.23
0,03-01-2016,1,3,2016,Knoxville,TYS,"Knoxville, TN",Tennessee,36,26,2.5
0,03-01-2016,1,3,2016,Memphis,MEM,"Memphis, TN",Tennessee,40,30,3.53
0,03-01-2016,1,3,2016,Nashville,BNA,"Nashville, TN",Tennessee,39,29,3.73
0,03-01-2016,1,3,2016,Oak Ridge,OQT,"Oak Ridge, TN",Tennessee,37,18,0.5
0,03-01-2016,1,3,2016,Abilene,ABI,"Abilene, TX",Texas,41,20,5.76
0,03-01-2016,1,3,2016,Amarillo,AMA,"Amarillo, TX",Texas,34,29,4.73
0.22,03-01-2016,1,3,2016,Austin/Bergstrom,AUS,"Austin/Bergstrom, TX",Texas,46,22,8
0.2,03-01-2016,1,3,2016,Austin/City,ATT,"Austin/City, TX",Texas,47,22,4.1
0.02,03-01-2016,1,3,2016,Beaumont/Port Arthur,BPT,"Beaumont/Port Arthur, TX",Texas,48,11,9.56
1.54,03-01-2016,1,3,2016,Brownsville,BRO,"Brownsville, TX",Texas,47,32,13.2
0,03-01-2016,1,3,2016,Childress,CDS,"Childress, TX",Texas,38,30,4.63
0.01,03-01-2016,1,3,2016,College Station,CLL,"College Station, TX",Texas,48,33,7.73
1.81,03-01-2016,1,3,2016,Corpus Christi,CRP,"Corpus Christi, TX",Texas,47,35,13.03
0,03-01-2016,1,3,2016,Dalhart,DHT,"Dalhart, TX",Texas,35,29,4.23
0,03-01-2016,1,3,2016,Dallas,DAL,"Dallas, TX",Texas,44,33,4.9
0,03-01-2016,1,3,2016,Dallas-Fort Worth,DFW,"Dallas-Fort Worth, TX",Texas,46,32,6.73
0.57,03-01-2016,1,3,2016,Del Rio,DRT,"Del Rio, TX",Texas,47,22,3.16
0,03-01-2016,1,3,2016,El Paso,ELP,"El Paso, TX",Texas,37,4,5
0,03-01-2016,1,3,2016,Fort Worth,FTW,"Fort Worth, TX",Texas,44,31,5.93
0.23,03-01-2016,1,3,2016,Galveston,GLS,"Galveston, TX",Texas,49,12,13.9
0.09,03-01-2016,1,3,2016,Houston,HOU,"Houston, TX",Texas,50,11,9.56
0,03-01-2016,1,3,2016,Lubbock,LBB,"Lubbock, TX",Texas,34,21,5.1
